id;nom;prenom;nom_famille;email;telephone;pays;ville;adresse;profession;statut_marital;genre;date_naissance;est_admin;statut;email_verifie;date_creation;numero_compte;solde;devise;type_compte;statut_compte
"11";"Jabari Macejkovic";"Raoul";"Blick";"ifeest@example.org";"+1 (770) 329-3871";"Norge";"Lake Vernicemouth";"323 Victoria View
East Leonorhaven, SC 90729";"Electric Meter Installer";"single";"male";"2000-09-04";"Non";"active";"Oui";"2025-06-02 11:01:07";"ACC0375803";"0";"EUR";"CHECKING";"SUSPENDED"
"12";"Joesph Champlin";"Federico";"Breitenberg";"boyer.kayla@example.net";"+1-508-946-4458";"Slovensko";"New Alf";"715 Douglas Course
Hartmannfurt, OR 95902-9916";"Refrigeration Mechanic";"married";"female";"1999-02-22";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC7782457";"0";"EUR";"CHECKING";"INACTIVE"
"13";"Stewart Wunsch MD";"Laurianne";"Kerluke";"mgottlieb@example.org";"(740) 650-7219";"Città del Vaticano";"Murphystad";"86052 Fay Land
Lake Zoila, FL 25109-7389";"Heat Treating Equipment Operator";"widowed";"other";"2007-01-29";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC6687320";"0";"EUR";"CHECKING";"ACTIVE"
"14";"Bryce Stroman";"Kristopher";"O'Keefe";"schowalter.magnolia@example.com";"1-281-881-6515";"Malta";"Monahanshire";"88494 Cummerata Estates Apt. 712
North Twilaview, KS 63699-4008";"General Manager";"widowed";"male";"1995-05-09";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC1336240";"0";"EUR";"SAVINGS";"INACTIVE"
"15";"Prof. Jadon Bartell";"Brendan";"Grady";"stephen18@example.org";"952-427-1612";"Україна";"Brentland";"3827 Mayer Ferry Suite 037
Hartmannmouth, CO 97046-6800";"Farmworker";"married";"female";"1996-05-28";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC9252058";"0";"EUR";"CHECKING";"ACTIVE"
"16";"Ben Jacobs";"Benton";"Runolfsson";"carrie88@example.org";"(986) 573-4756";"Moldova";"East Maddisonton";"8632 Bernard Knoll
South Giovannyside, NV 01456-6387";"Washing Equipment Operator";"widowed";"female";"2001-03-19";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC9681016";"0";"EUR";"SAVINGS";"INACTIVE"
"17";"Reyes Bode";"Lowell";"Stroman";"emilie.klein@example.org";"+1.435.214.4926";"Україна";"South Yvonne";"993 Ursula Spurs Suite 964
Bauchville, VT 72003";"Dentist";"widowed";"other";"1985-07-21";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC3524278";"0";"EUR";"CHECKING";"SUSPENDED"
"18";"Daisha Reynolds";"Malinda";"Ortiz";"mclaughlin.elenor@example.net";"281.674.4674";"Україна";"Lake Kaitlyn";"3228 Louie Drive
Maggiotown, OR 16559-3267";"Lifeguard";"married";"other";"2003-08-26";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC1331051";"0";"EUR";"SAVINGS";"SUSPENDED"
"19";"Prof. Caden Will DVM";"Mitchell";"Smitham";"valentina.runolfsson@example.org";"947-318-2378";"Северна Македонија";"South Buddystad";"38477 Vandervort Walk Suite 266
Lake Katherine, MS 11748-5040";"Designer";"widowed";"male";"2005-08-21";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC1634375";"0";"EUR";"CHECKING";"SUSPENDED"
"20";"Cydney Dibbert";"Flavio";"Bailey";"dwolf@example.net";"+1-248-639-9603";"Hrvatska";"Thomasborough";"274 Margret Plains
Kutchhaven, ID 48012";"Command Control Center Specialist";"single";"male";"1990-03-15";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC1128236";"0";"EUR";"CHECKING";"SUSPENDED"
"21";"Winston Eichmann I";"Bernard";"Howell";"beatty.susana@example.net";"928.798.0312";"Slovensko";"Adeliafurt";"581 Meta Island Suite 405
Mosesland, VT 03274-1632";"Detective";"divorced";"female";"1986-08-24";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC2564290";"0";"EUR";"SAVINGS";"INACTIVE"
"22";"Freida Cruickshank PhD";"Kaela";"Rodriguez";"mcglynn.mercedes@example.net";"+1-747-200-4459";"Hrvatska";"South Manleyfort";"6985 Rose Centers Apt. 934
Dickensburgh, AZ 22027-5911";"Public Relations Specialist";"single";"male";"2003-03-13";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC9820426";"0";"EUR";"SAVINGS";"ACTIVE"
"23";"Chesley Bruen";"Giovanny";"Wilderman";"avery.bayer@example.org";"+1 (669) 739-9510";"România";"Port Kasandrafurt";"944 Gisselle Motorway
Schmelerland, NY 85187-5495";"User Experience Manager";"widowed";"other";"1971-09-14";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC1505680";"0";"EUR";"SAVINGS";"ACTIVE"
"24";"Prof. Madilyn Reichert";"Michale";"Bernier";"watsica.isaias@example.org";"281-755-3282";"Црна Гора";"North Amanda";"79954 Larissa Coves Suite 069
Lawsonville, NM 24727";"Electronic Drafter";"widowed";"female";"1973-10-10";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC9913274";"0";"EUR";"SAVINGS";"INACTIVE"
"25";"Keira Haag II";"Jerry";"Swaniawski";"batz.dangelo@example.com";"1-805-706-8147";"Liechtenstein";"West Elenachester";"617 Batz Alley Suite 931
Erickfort, WY 70031-3507";"Fish Hatchery Manager";"single";"other";"2002-11-09";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC7087667";"0";"EUR";"SAVINGS";"ACTIVE"
"26";"Kasandra McGlynn IV";"Shayne";"Mante";"hortense.schaden@example.org";"+1-480-279-6553";"Magyarország";"Lake Justus";"72013 Olson Gardens
Port Dasia, RI 17326-7314";"Manufacturing Sales Representative";"married";"other";"1970-04-08";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC8113093";"0";"EUR";"SAVINGS";"INACTIVE"
"27";"Keara Gottlieb";"Emerald";"Kshlerin";"volkman.fern@example.net";"515-485-6142";"Ελλάδα";"Lake Constantinmouth";"268 Sydnie Unions
Keanufort, IA 56980-6388";"Marine Engineer";"divorced";"female";"1998-03-17";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC6360283";"0";"EUR";"SAVINGS";"SUSPENDED"
"28";"Karley Haley";"Tamara";"Dooley";"herzog.levi@example.net";"(302) 215-8934";"Shqipëria";"South Kaitlyn";"83116 Ezequiel Hills Suite 861
Eudorahaven, UT 09772-4662";"Commercial and Industrial Designer";"widowed";"other";"1995-01-13";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC7866062";"0";"EUR";"CHECKING";"ACTIVE"
"29";"Bessie Bergstrom";"Doyle";"Hermann";"parker65@example.com";"870-558-2731";"België / Belgique";"Howelltown";"66186 Amari Ferry
Christymouth, MT 79566";"Nursery Worker";"married";"female";"2003-09-09";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC6747356";"0";"EUR";"CHECKING";"ACTIVE"
"30";"Prof. Madisen Schuppe DDS";"Ethel";"Schowalter";"judge.johns@example.net";"+1 (503) 370-1467";"Nederland";"Lucianoview";"477 Ted Key Suite 351
Casperview, AZ 44405-8856";"Actor";"married";"other";"1988-11-11";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC9692218";"0";"EUR";"CHECKING";"INACTIVE"
"31";"Kathryn White";"Marlene";"Legros";"scot85@example.net";"(845) 595-5242";"Latvija";"East Aurelio";"72838 Royce Club Suite 251
Eliseoland, SD 82341";"Market Research Analyst";"divorced";"other";"1976-07-06";"Non";"active";"Oui";"2025-06-02 11:01:08";"ACC6682860";"0";"EUR";"SAVINGS";"SUSPENDED"
